,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013277292251586914,0.0021547967653696705,0.009947061538696289,0.0006442993791024147,gini,1,"{'criterion': 'gini', 'max_depth': 1}",0.699812382739212,0.7274436090225564,0.7086466165413534,0.7048872180451128,0.7199248120300752,0.712142927675662,0.010115141383146481,159
1,0.009134054183959961,0.0001337634896633576,0.008844327926635743,6.633204222558315e-05,gini,2,"{'criterion': 'gini', 'max_depth': 2}",0.7879924953095685,0.8120300751879698,0.793233082706767,0.7913533834586466,0.7875939849624061,0.7944406043250716,0.009042486748085901,157
2,0.010514402389526367,0.0025276046098611123,0.009105825424194336,0.0003221934233258111,gini,3,"{'criterion': 'gini', 'max_depth': 3}",0.8086303939962477,0.8327067669172933,0.8233082706766918,0.8233082706766918,0.8176691729323309,0.8211245750398511,0.007895930415468407,155
3,0.01249837875366211,0.002602035993695754,0.009354066848754884,0.001035351289407302,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.8180112570356473,0.8270676691729322,0.8251879699248119,0.8289473684210527,0.8139097744360902,0.8226248077981069,0.0057187454437729384,154
4,0.01109619140625,0.002238728659242368,0.010684490203857422,0.002792197237321342,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.8161350844277673,0.8383458646616542,0.8345864661654135,0.8270676691729322,0.8176691729323309,0.8267608514720196,0.008844347991602532,152
5,0.011431550979614258,0.0015271002500890627,0.008921432495117187,0.00013144095623164977,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.8180112570356473,0.8421052631578947,0.8421052631578947,0.8402255639097744,0.8195488721804511,0.8323992438883323,0.011151781238026588,151
6,0.009740924835205078,0.0005432439938156819,0.008945035934448241,0.0004334876592370893,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.8255159474671669,0.8477443609022557,0.8477443609022557,0.8345864661654135,0.8308270676691729,0.8372836406212529,0.009014366578903376,149
7,0.009596872329711913,0.00018071180887476368,0.008885335922241212,0.00028581777571556996,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.8198874296435272,0.8439849624060151,0.8552631578947367,0.8402255639097744,0.8289473684210527,0.8376616964550212,0.012233009663988005,148
8,0.011900234222412109,0.003049490527491432,0.008705234527587891,0.00024854642762503156,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.821763602251407,0.849624060150376,0.8571428571428571,0.8383458646616542,0.8402255639097744,0.8414203896232137,0.011931184325368879,146
9,0.009641885757446289,0.0005081057815620217,0.008888578414916993,0.0004092483238446636,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.8292682926829268,0.8458646616541353,0.8477443609022557,0.8439849624060151,0.8402255639097744,0.8414175683110214,0.006563874296692151,147
10,0.009992218017578125,0.0011234014120095638,0.008753538131713867,0.0008920866273036818,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.8292682926829268,0.8590225563909775,0.8515037593984961,0.8364661654135339,0.8364661654135339,0.8425453878598936,0.01097218894175876,142
11,0.009815168380737305,0.0006417181466730065,0.008547210693359375,0.00031364902788945034,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.8330206378986866,0.8590225563909775,0.8533834586466166,0.8421052631578947,0.8421052631578947,0.8459274358504139,0.009196498240732437,41
12,0.009354877471923827,0.0001232554786108266,0.010206317901611328,0.003577478114218789,gini,13,"{'criterion': 'gini', 'max_depth': 13}",0.8330206378986866,0.8571428571428571,0.849624060150376,0.8383458646616542,0.8402255639097744,0.8436717967526697,0.008609159842517622,131
13,0.009203004837036132,0.00020223531297404248,0.008968591690063477,0.0016692287245938,gini,14,"{'criterion': 'gini', 'max_depth': 14}",0.8255159474671669,0.8609022556390977,0.8533834586466166,0.8402255639097744,0.8402255639097744,0.844050557914486,0.012197341472497318,111
14,0.009318971633911132,0.00044686400900703253,0.00835275650024414,0.00018301647477335535,gini,15,"{'criterion': 'gini', 'max_depth': 15}",0.8311444652908068,0.8552631578947367,0.8533834586466166,0.8364661654135339,0.8402255639097744,0.8432965622310936,0.009473158950377808,135
15,0.009613370895385743,0.00042995416856814455,0.008403396606445313,0.0003076822052754436,gini,16,"{'criterion': 'gini', 'max_depth': 16}",0.8292682926829268,0.8590225563909775,0.8533834586466166,0.8402255639097744,0.8421052631578947,0.844801026957638,0.010443925236562011,86
16,0.009621238708496094,0.000771389915660645,0.009040927886962891,0.0016617553755985898,gini,17,"{'criterion': 'gini', 'max_depth': 17}",0.8348968105065666,0.8590225563909775,0.8533834586466166,0.8383458646616542,0.8421052631578947,0.845550790672742,0.009166559564177425,63
17,0.010669708251953125,0.003373846056805757,0.00831446647644043,0.00016817314466219797,gini,18,"{'criterion': 'gini', 'max_depth': 18}",0.8255159474671669,0.8590225563909775,0.8515037593984961,0.8383458646616542,0.8439849624060151,0.8436746180648619,0.01144625623688498,124
18,0.009293699264526367,0.0003347945847553372,0.008347797393798827,0.000318600038097484,gini,19,"{'criterion': 'gini', 'max_depth': 19}",0.8273921200750468,0.8552631578947367,0.8515037593984961,0.8402255639097744,0.8421052631578947,0.8432979728871898,0.009740215517516816,132
19,0.009462451934814453,0.0002373432035233918,0.008454275131225587,0.0002702676416794089,gini,20,"{'criterion': 'gini', 'max_depth': 20}",0.8311444652908068,0.8590225563909775,0.849624060150376,0.8364661654135339,0.8421052631578947,0.8436725020807178,0.009822264938351128,129
